"""sitename"""	"""siteengname"""	SO2 Average 	Maximum	X	Y	Xtwd	Ytwd	Months 
??	Keelung	1.78	7.1	121.760056	25.129167	326641.0947	2780300.361	1
??	Xizhi	1.55	6.8	121.64081	25.06624	314649.5064	2773267.652	1
??	Wanli	1.68	8.6	121.689881	25.179667	319536.0581	2785856.183	1
??	Xindian	1.85	7	121.537778	24.977222	304293.8287	2763362.251	1
??	Tucheng	2.25	6.3	121.451861	24.982528	295617.6015	2763918.33	1
??	Banqiao	1.77	7.4	121.458667	25.012972	296293.3026	2767292.737	1
??	Xinzhuang	1.33	13.3	121.4325	25.037972	293643.389	2770053.158	1
??	Cailiao	1.94	7.5	121.481028	25.06895	298528.2	2773500.962	1
??	Linkou	2.16	12.6	121.3654898	25.07798949	286869.3782	2774465.731	1
??	Tamsui	1.49	7.9	121.449239	25.1645	295285.9191	2784073.597	1
??	Shilin	1.59	10.6	121.5166636	25.10334003	302108.7712	2777323.471	1
??	Zhongshan	1.64	10.9	121.526528	25.062361	303121.3595	2772788.228	1
??	Wanhua	2.77	7.63	121.507972	25.046503	301255.8092	2771024.55	1
??	Guting	1.75	11.4	121.529556	25.020608	303444.953	2768164.63	1
??	Songshan	1.58	5.7	121.578611	25.05	308381.9745	2771440.514	1
??	Datong	2.13	9.5	121.5134207	25.06331455	301798.5412	2772888.765	1
??	Taoyuan	1.7	5.2	121.3050053	24.9947107	280788.6456	2765226.36	1
??	Dayuan	1.85	7.2	121.2025147	25.06100357	270431.7556	2772549.774	1
??	Guanyin	1.47	5.3	121.0828309	25.03556747	258358.544	2769719.669	1
??	Pingzhen	0.39	8.4	121.203986	24.952786	270598.2355	2760563.563	1
??	Longtan	2.76	12.8	121.2164577	24.86400048	271873.2622	2750731.543	1
??	Hukou	3.11	15.9	121.0388689	24.90009696	253926.5933	2754712.78	1
??	Zhudong	2.2	8.2	121.0889549	24.74091408	258997.847	2737084.183	1
??	Hsinchu	2.89	7.9	120.9723675	24.8056356	247206.4037	2744249.997	1
??	Toufen	2.2	7.1	120.8986929	24.69690679	239749.1152	2732210.903	1
??	Miaoli	2.12	7.2	120.8201147	24.56499183	231778.9513	2717608.589	1
??	Sanyi	1.99	9.1	120.7595675	24.38248443	225610.8072	2697404.393	1
??	Fengyuan	1.8	4.5	120.7425241	24.25699731	223856.2162	2683509.479	1
??	Shalu	1.6	5.9	120.568794	24.225628	206204.9642	2680078.798	1
??	Dali	1.77	5.6	120.6784444	24.09961111	217309.5348	2666092.325	1
??	Zhongming	2.13	10.3	120.641092	24.151958	213526.9718	2671898.973	1
??	Xitun	0.98	7.3	120.616917	24.162197	211073.3337	2673039.462	1
??	Changhua	1.55	6.6	120.541519	24.066	203376.8957	2662408.563	1
??	Xianxi	2.57	8.7	120.469061	24.131672	196036.0031	2669707.797	1
??	Erlin	2.72	11.9	120.409653	23.925175	189901.7565	2646862.1	1
??	Nantou	1.92	7.4	120.685306	23.913	217960.9325	2645423.87	1
??	Douliu	1.73	7	120.544994	23.711853	203604.1387	2623186.376	1
??	Lunbei	1.81	6.7	120.348742	23.757547	183615.4515	2628324.597	1
??	Xingang	1.66	8.5	120.345531	23.554839	183185.239	2605876.77	1
??	Puzi	1.8	5.1	120.2478	23.46538	173155.6228	2596018.432	1
??	Taixi	2.95	8.5	120.1993333	23.702175	168350.7048	2622269.861	1
??	Chiayi	1.93	8.9	120.4412515	23.46477865	192918.7784	2595861.802	1
??	Xinying	3.22	9.3	120.31725	23.305633	180167.1651	2578292.065	1
??	Shanhua			120.2974053	23.11337642	178034.4504	2557010.964	1
??	Annan	1.92	6.8	120.2175	23.048197	169810.9055	2549834.555	1
??	Tainan	2.29	9	120.22085	22.99123	170120.6725	2543524.177	1
??	Meinong	2.23	6	120.530542	22.883583	201833.2379	2531468.788	1
??	Qiaotou	2.3	8.4	120.305689	22.757506	178696.8572	2517598.62	1
??	Renwu	2.56	15.2	120.332631	22.689056	181429.6846	2510006.131	1
??	Fengshan	2.09	5.3	120.357422	22.628126	183947.8166	2503247.93	1
??	Daliao	2.09	4.7	120.425311	22.56413611	190899.162	2496133.724	1
??	Linyuan	2.2	8.8	120.41175	22.4795	189467.6618	2486767.36	1
??	Nanzi	2.08	5	120.328289	22.733667	181005.9027	2514948.11	1
??	Zuoying	2.54	6.5	120.292917	22.674861	177341.558	2508453.136	1
??	Qianjin	2.54	10	120.2867611	22.63390278	176687.2193	2503920.683	1
??	Qianzhen	2.78	10.1	120.3083336	22.6044507	178889.5598	22.6044507	1
??	Xiaogang	1.39	4.1	120.337736	22.565833	181893.5435	2496358.931	1
??	Pingtung	3.08	9.7	120.488033	22.673081	197391.0605	2508173.804	1
??	Chaozhou	2.37	6.56	120.561175	22.523108	204858.2576	2491543.305	1
??	Hengchun	2.16	6.7	120.788928	21.958069	228199.9944	2428929.591	1
??	Taitung	2.6	6.4	121.15045	22.755358	265450.6396	2517201.492	1
??	Hualien	3	11.2	121.599769	23.971306	311035.7319	2651975.171	1
??	Yangming	3.17	29.2	121.529583	25.182722	303377.2655	2786121.42	1
??	Yilan	3.01	25.5	121.746394	24.747917	325495.3942	2738062.753	1
??	Dongshan	2.29	7.5	121.792928	24.632203	330276.4487	2725272.259	1
??	Sanchong	2.49	8.4	121.493806	25.072611	299815.8397	2773911.122	1
??	Zhongli	3.48	12	121.221667	24.953278	272383.556	2760620.856	1
??	Zhushan	2.02	7.7	120.677306	23.756389	217106.971	2628081.672	1
??	Yonghe	0.96	3.9	121.516306	25.017	302109.2082	2767759.828	1
??	Fuxing	1.91	13.2	120.312017	22.608711	179270.4418	2501118.895	1
